Ticker,Ideal Volatility,Mid Market Cap,Reverse Volatility,3yr Sharpe Ratio
GBX,0,1,0,0
GDDY,0,0,0,1
GEF,0,1,0,1
GEL,0,1,0,0
GES,0,1,0,1
GEVO,0,0,1,0
GFF,0,1,0,1
GGAL,0,1,0,0
GGB,0,0,0,1
GGG,1,0,0,0
GIB,1,0,0,0
GIII,0,1,0,0
GIL,0,0,0,1
GILD,1,0,0,0
GIS,1,0,0,0
GL,1,0,0,1
GLNG,0,1,0,0
GLPI,0,0,0,1
GME,0,0,1,0
GMED,0,0,0,1
GNL,0,0,0,1
GNMK,0,0,1,0
GNTX,1,0,0,0
GNW,0,0,0,1
GOGL,0,1,0,0
GOL,0,1,1,0
GOOG,1,0,0,0
GOOGL,1,0,0,0
GPC,1,0,0,0
GPK,0,0,0,1
GPRE,0,1,0,0
GPRO,0,1,0,0
GRBK,0,1,0,0
GRFS,1,0,0,0
GRMN,1,0,0,0
GRP.U,1,0,0,0
GRPN,0,1,1,0
GS,0,0,0,1
GSK,1,0,0,0
GTN,0,0,0,1
GTY,1,1,0,1
GWRE,0,0,0,1
H,0,0,0,1
HA,0,1,0,0
HAS,0,0,0,1
HBAN,0,0,0,1
HBI,0,0,0,1
HD,1,0,0,0
HEES,0,1,0,0
HES,0,0,0,1
HI,0,0,0,1
HIBB,0,1,0,0
HIW,0,0,0,1
HL,0,0,0,1
HLI,1,0,0,0
HLIO,0,0,0,1
HMC,1,0,0,0
HMN,1,0,0,1
HNI,0,0,0,1
HOMB,0,0,0,1
HON,1,0,0,0
HQY,0,0,0,1
HR,1,0,0,1
HRC,1,0,0,0
HRTX,0,1,0,0
HSBC,1,0,0,0
HSC,0,1,0,0
HTA,1,0,0,1
HTGC,0,0,0,1
HTLD,1,0,0,1
HURN,0,1,0,0
HY,0,1,0,1
HZO,0,1,0,0
IAG,0,1,0,0
IART,0,0,0,1
IBB,1,0,0,0
IBKR,0,0,0,1
IBOC,0,0,0,1
IBRX,0,0,1,0
IBTX,0,0,0,1
ICE,1,0,0,0
ICFI,1,0,0,0
ICLR,1,0,0,0
IDA,1,0,0,1
IEX,1,0,0,0
IFF,0,0,0,1
IGF,1,0,0,1
IGOV,0,1,0,1
IGSB,0,0,0,1
IJT,1,0,0,0
IMAX,0,1,0,1
